player,goals,assists,games_starts,cards_yellow,cards_red,passes_completed,touches,shots,offsides,tackles,fouls,dispossessed,own_goals,clearances,team
Breel Embolo,2,0,4.0,0,0,46.0,92.0,6,2,1.0,3,10.0,0,1.0,Switzerland
Brenden Aaronson,0,0,,0,0,41.0,78.0,1,0,3.0,3,4.0,0,0.0,United States
Brennan Johnson,0,0,,0,0,10.0,33.0,3,0,0.0,2,2.0,0,1.0,Wales
Bruno Fernandes,2,3,4.0,1,0,188.0,266.0,7,1,4.0,2,4.0,0,4.0,Portugal
Bruno Guimarães,0,0,,1,0,43.0,67.0,5,0,0.0,2,2.0,0,0.0,Brazil
Bruno Petković,1,0,1.0,1,0,40.0,101.0,1,0,6.0,3,10.0,0,0.0,Croatia
Bryan Mbeumo,0,0,3.0,0,0,49.0,106.0,2,0,0.0,1,1.0,0,2.0,Cameroon
Bryan Oviedo,0,0,3.0,0,0,67.0,112.0,0,1,6.0,2,0.0,0,7.0,Costa Rica
Bryan Ruiz,0,0,,0,0,8.0,14.0,0,0,1.0,0,0.0,0,0.0,Costa Rica
Bukayo Saka,3,0,4.0,0,0,84.0,147.0,7,2,7.0,7,3.0,0,2.0,England
Callum Wilson,0,1,,0,0,9.0,16.0,0,0,0.0,0,2.0,0,0.0,England
Cameron Carter-Vickers,0,0,1.0,0,0,50.0,64.0,0,0,0.0,0,0.0,0,4.0,United States
Carlos Gruezo,0,0,1.0,0,0,15.0,19.0,0,0,2.0,0,0.0,0,0.0,Ecuador
Carlos Martínez,0,0,1.0,0,0,10.0,20.0,0,0,1.0,1,1.0,0,1.0,Costa Rica
Carlos Soler,1,0,,0,0,78.0,88.0,4,0,0.0,0,1.0,0,0.0,Spain
Casemiro,1,0,4.0,1,0,208.0,302.0,9,0,11.0,7,4.0,0,5.0,Brazil
Celso Borges,0,0,3.0,1,0,98.0,143.0,0,0,5.0,2,0.0,0,7.0,Costa Rica
Charles De Ketelaere,0,0,,0,0,3.0,6.0,0,0,0.0,0,1.0,0,0.0,Belgium
Charly Rodríguez,0,0,,0,0,21.0,36.0,0,0,0.0,1,0.0,0,0.0,Mexico
Cheikhou Kouyaté,0,0,1.0,0,0,19.0,34.0,0,0,0.0,1,0.0,0,4.0,Senegal
Cho Guesung,2,0,3.0,1,0,40.0,88.0,9,4,0.0,7,5.0,0,3.0,Korea Republic
Chris Mepham,0,0,3.0,1,0,141.0,199.0,0,1,8.0,7,0.0,0,16.0,Wales
Christian Bassogog,0,0,,1,0,5.0,13.0,0,0,0.0,0,0.0,0,0.0,Cameroon
Christian Eriksen,0,0,3.0,0,0,188.0,253.0,4,0,1.0,2,3.0,0,1.0,Denmark
Christian Fassnacht,0,0,,0,0,7.0,12.0,1,0,0.0,0,0.0,0,1.0,Switzerland
Christian Nørgaard,0,0,,0,0,14.0,15.0,0,0,0.0,0,0.0,0,0.0,Denmark
Christian Pulisic,1,2,4.0,0,0,83.0,187.0,9,1,2.0,2,10.0,0,1.0,United States
Christopher Wooh,0,0,1.0,0,0,25.0,45.0,1,0,1.0,2,2.0,0,6.0,Cameroon
Cody Gakpo,3,0,5.0,0,0,93.0,205.0,5,3,8.0,8,9.0,0,6.0,Netherlands
Collins Fai,0,0,3.0,2,0,99.0,169.0,1,0,5.0,4,0.0,0,7.0,Cameroon
Connor Roberts,0,0,2.0,0,0,92.0,138.0,0,0,3.0,0,0.0,0,7.0,Wales
Craig Goodwin,1,1,3.0,0,0,58.0,118.0,2,0,4.0,1,3.0,0,3.0,Australia
Cristian Romero,0,0,6.0,2,0,337.0,428.0,0,0,5.0,12,1.0,0,26.0,Argentina
Cristiano Ronaldo,1,0,3.0,0,0,68.0,116.0,10,7,0.0,2,5.0,0,1.0,Portugal
Cyle Larin,0,0,2.0,0,0,21.0,44.0,3,2,0.0,2,2.0,0,2.0,Canada
César Azpilicueta,0,1,2.0,0,0,171.0,185.0,0,0,1.0,2,1.0,0,0.0,Spain
César Montes,0,1,3.0,0,0,159.0,222.0,1,0,6.0,4,0.0,0,11.0,Mexico
Daichi Kamada,0,0,4.0,0,0,83.0,139.0,6,3,7.0,1,7.0,0,3.0,Japan
Daizen Maeda,1,0,3.0,0,0,8.0,31.0,2,2,3.0,2,0.0,0,0.0,Japan
Daley Blind,1,1,5.0,0,0,252.0,339.0,5,0,14.0,3,1.0,0,4.0,Netherlands
Damian Szymański,0,0,,0,0,8.0,9.0,0,0,0.0,0,0.0,0,0.0,Poland
Dani Alves,0,0,1.0,0,0,83.0,113.0,3,0,5.0,5,2.0,0,2.0,Brazil
Dani Carvajal,0,0,1.0,0,0,121.0,137.0,0,0,1.0,0,0.0,0,1.0,Spain
Dani Olmo,1,1,4.0,0,0,162.0,257.0,12,2,5.0,5,7.0,0,4.0,Spain
Daniel Amartey,0,0,3.0,2,0,128.0,172.0,1,0,6.0,3,1.0,0,12.0,Ghana
Daniel James,0,0,2.0,1,0,24.0,49.0,0,0,1.0,1,1.0,0,1.0,Wales
Daniel Kyereh,0,0,,0,0,18.0,31.0,0,0,2.0,0,2.0,0,4.0,Ghana
Danilo,0,0,3.0,1,0,230.0,289.0,2,0,5.0,3,1.0,0,5.0,Brazil
Danilo Pereira,0,0,1.0,1,0,68.0,87.0,0,0,2.0,1,1.0,0,3.0,Portugal
Danny Ward,0,0,1.0,0,0,24.0,42.0,0,0,0.0,0,0.0,0,0.0,Wales
Darko Lazović,0,0,,0,0,7.0,14.0,1,0,0.0,0,0.0,0,0.0,Serbia
Darwin Núñez,0,0,3.0,1,0,35.0,85.0,3,0,3.0,2,6.0,0,2.0,Uruguay
David Raum,0,1,3.0,0,0,153.0,229.0,0,1,6.0,5,3.0,0,2.0,Germany
David Wotherspoon,0,0,,0,0,4.0,9.0,0,0,0.0,0,0.0,0,0.0,Canada
Davy Klaassen,1,2,3.0,0,0,59.0,96.0,2,0,3.0,1,3.0,0,2.0,Netherlands
Dayot Upamecano,0,0,5.0,0,0,314.0,393.0,1,0,11.0,4,1.0,0,13.0,France
DeAndre Yedlin,0,0,,0,0,19.0,32.0,0,0,2.0,2,0.0,0,2.0,United States
Declan Rice,0,0,5.0,0,0,300.0,362.0,0,0,6.0,3,2.0,0,5.0,England
Dejan Lovren,0,1,6.0,1,0,405.0,515.0,4,1,7.0,2,0.0,0,29.0,Croatia
Denis Odoi,0,0,,0,0,2.0,7.0,0,0,1.0,0,0.0,0,2.0,Ghana
Denis Zakaria,0,0,,0,0,20.0,32.0,1,0,0.0,1,1.0,0,1.0,Switzerland
Denzel Dumfries,1,2,5.0,2,1,149.0,274.0,1,2,8.0,17,7.0,0,6.0,Netherlands
Devis Epassy,0,0,2.0,0,0,57.0,93.0,0,0,0.0,0,0.0,0,2.0,Cameroon
Diego Godín,0,0,2.0,0,0,87.0,116.0,1,0,0.0,0,0.0,0,9.0,Uruguay
Diogo Costa,0,0,5.0,0,0,113.0,170.0,0,0,1.0,0,1.0,0,4.0,Portugal
Diogo Dalot,0,2,3.0,0,0,112.0,172.0,1,0,8.0,1,1.0,0,1.0,Portugal
Djibril Sow,0,1,4.0,0,0,84.0,115.0,2,0,2.0,2,2.0,0,0.0,Switzerland
Djorkaeff Reasco,0,0,,0,0,2.0,3.0,0,0,0.0,1,1.0,0,0.0,Ecuador
Dominik Livaković,0,0,7.0,1,0,194.0,245.0,0,0,0.0,1,0.0,0,0.0,Croatia
Dries Mertens,0,0,1.0,0,0,22.0,39.0,3,0,2.0,0,0.0,0,0.0,Belgium
Dušan Tadić,0,2,3.0,0,0,90.0,150.0,1,1,4.0,7,3.0,0,0.0,Serbia
Dušan Vlahović,1,0,1.0,0,0,6.0,19.0,3,0,1.0,0,1.0,0,0.0,Serbia
Dylan Bronn,0,0,2.0,0,0,75.0,104.0,1,0,4.0,1,2.0,0,0.0,Tunisia
Eden Hazard,0,0,2.0,0,0,46.0,70.0,1,0,0.0,0,5.0,0,0.0,Belgium
Ederson,0,0,1.0,0,0,28.0,32.0,0,0,0.0,0,0.0,0,0.0,Brazil
Edimilson Fernandes,0,0,1.0,0,0,65.0,95.0,1,1,2.0,1,3.0,0,3.0,Switzerland
