player,goals,assists,games_starts,cards_yellow,cards_red,passes_completed,touches,shots,offsides,tackles,fouls,dispossessed,own_goals,clearances,team
Piotr Zieliński,1,0,4.0,0,0,124.0,178.0,3,0,7.0,4,1.0,0,7.0,Poland
Przemysław Frankowski,0,0,3.0,1,0,49.0,97.0,1,0,7.0,1,3.0,0,5.0,Poland
Rafael Leão,2,0,,0,0,32.0,63.0,5,0,0.0,3,2.0,0,0.0,Portugal
Raheem Sterling,1,1,2.0,0,0,45.0,68.0,1,1,1.0,0,3.0,0,0.0,England
Ramin Rezaeian,1,0,2.0,1,0,73.0,130.0,2,0,7.0,2,3.0,0,2.0,IR Iran
Randal Kolo Muani,1,0,1.0,0,0,25.0,76.0,4,0,7.0,4,6.0,0,1.0,France
Raphaël Guerreiro,1,2,3.0,0,0,156.0,207.0,3,0,3.0,2,1.0,0,2.0,Portugal
Raphaël Varane,0,0,6.0,0,0,256.0,322.0,3,1,1.0,1,0.0,0,15.0,France
Raphinha,0,1,4.0,0,0,111.0,189.0,8,0,8.0,2,4.0,0,0.0,Brazil
Rasmus Nissen,0,0,3.0,1,0,137.0,204.0,0,0,8.0,2,3.0,0,7.0,Denmark
Raúl Jiménez,0,0,,0,0,20.0,37.0,0,0,0.0,1,0.0,0,1.0,Mexico
Remo Freuler,1,0,4.0,0,0,127.0,197.0,3,0,8.0,6,0.0,0,3.0,Switzerland
Renato Steffen,0,0,,0,0,13.0,19.0,0,1,0.0,0,2.0,0,0.0,Switzerland
Ricardo Horta,1,0,1.0,0,0,31.0,55.0,3,0,2.0,3,0.0,0,0.0,Portugal
Ricardo Rodríguez,0,0,4.0,0,0,164.0,247.0,0,0,7.0,6,3.0,0,8.0,Switzerland
Richarlison,3,0,4.0,0,0,40.0,97.0,8,1,2.0,5,3.0,0,4.0,Brazil
Richie Laryea,0,0,2.0,0,0,35.0,73.0,2,2,3.0,1,1.0,0,3.0,Canada
Riley McGree,0,1,4.0,0,0,57.0,107.0,3,0,2.0,9,2.0,0,3.0,Australia
Ritsu Doan,2,0,2.0,0,0,36.0,95.0,4,0,6.0,3,3.0,0,2.0,Japan
Riyadh Sharahili,0,0,,0,0,14.0,28.0,0,0,0.0,4,1.0,0,4.0,Saudi Arabia
Robert Lewandowski,2,1,4.0,0,0,61.0,153.0,10,0,2.0,6,6.0,0,8.0,Poland
Robert Skov,0,0,,1,0,17.0,24.0,0,0,0.0,1,0.0,0,0.0,Denmark
Roberto Alvarado,0,0,,1,0,5.0,12.0,0,0,0.0,1,0.0,0,0.0,Mexico
Rodri,0,0,4.0,0,0,642.0,710.0,1,0,5.0,5,0.0,0,9.0,Spain
Rodrigo Bentancur,0,0,3.0,1,0,136.0,197.0,3,0,9.0,5,3.0,0,5.0,Uruguay
Rodrigo De Paul,0,0,7.0,0,0,470.0,625.0,7,0,11.0,7,7.0,0,3.0,Argentina
Rodrygo,0,1,1.0,0,0,91.0,152.0,6,1,4.0,3,3.0,0,1.0,Brazil
Rogelio Funes Mori,0,0,,0,0,0.0,2.0,1,0,1.0,2,0.0,0,0.0,Mexico
Romain Saïss,1,0,6.0,1,0,159.0,248.0,1,2,5.0,4,0.0,0,30.0,Morocco
Romario Ibarra,0,0,1.0,0,0,10.0,23.0,2,0,0.0,0,1.0,0,2.0,Ecuador
Romelu Lukaku,0,0,,0,0,6.0,16.0,5,0,0.0,1,1.0,0,1.0,Belgium
Roozbeh Cheshmi,1,0,1.0,0,0,7.0,19.0,1,0,0.0,1,0.0,0,3.0,IR Iran
Ruben Vargas,0,1,4.0,1,0,80.0,140.0,3,1,0.0,4,1.0,0,4.0,Switzerland
Rubin Colwill,0,0,,0,0,2.0,6.0,1,0,0.0,0,0.0,0,0.0,Wales
Ró-Ró,0,0,3.0,0,0,78.0,134.0,2,0,6.0,4,2.0,0,3.0,Qatar
Rónald Matarrita,0,0,,0,0,18.0,30.0,0,0,0.0,1,0.0,0,0.0,Costa Rica
Rúben Dias,0,0,4.0,1,0,248.0,293.0,1,0,4.0,4,1.0,0,9.0,Portugal
Rúben Neves,0,0,4.0,1,0,235.0,275.0,2,0,2.0,5,1.0,0,5.0,Portugal
Saad Al Sheeb,0,0,1.0,1,0,18.0,22.0,0,0,0.0,1,0.0,0,0.0,Qatar
Sadegh Moharrami,0,0,1.0,0,0,18.0,32.0,0,0,1.0,2,2.0,0,3.0,IR Iran
Saeid Ezatolahi,0,0,2.0,0,0,66.0,115.0,3,0,6.0,2,0.0,0,4.0,IR Iran
Saleh Al-Shehri,1,0,3.0,1,0,29.0,73.0,2,0,3.0,6,1.0,0,2.0,Saudi Arabia
Salem Al-Dawsari,2,0,3.0,1,0,86.0,146.0,6,0,5.0,3,6.0,0,2.0,Saudi Arabia
Salis Abdul Samed,0,0,3.0,0,0,129.0,169.0,1,0,2.0,5,2.0,0,8.0,Ghana
Salman Al-Faraj,0,0,1.0,0,0,12.0,19.0,0,0,1.0,0,2.0,0,0.0,Saudi Arabia
Sam Adekugbe,0,0,1.0,1,0,63.0,77.0,0,0,0.0,1,0.0,0,1.0,Canada
Saman Ghoddos,0,0,,0,0,15.0,24.0,1,0,1.0,1,1.0,0,0.0,IR Iran
Sami Al-Najei,0,0,1.0,0,0,13.0,25.0,0,0,0.0,0,1.0,0,0.0,Saudi Arabia
Samuel Oum Gouet,0,0,1.0,0,0,52.0,65.0,0,0,1.0,0,0.0,0,3.0,Cameroon
Sardar Azmoun,0,0,2.0,0,0,18.0,40.0,5,1,0.0,1,0.0,0,1.0,IR Iran
Saud Abdulhamid,0,0,3.0,1,0,88.0,150.0,1,0,5.0,7,1.0,0,6.0,Saudi Arabia
Saša Lukić,0,0,3.0,2,0,143.0,182.0,1,0,2.0,7,2.0,0,5.0,Serbia
Sebastian Szymański,0,0,2.0,0,0,26.0,61.0,0,0,6.0,1,2.0,0,1.0,Poland
Sebastián Coates,0,0,2.0,1,0,76.0,107.0,1,0,1.0,2,2.0,0,6.0,Uruguay
Selim Amallah,0,0,4.0,1,0,65.0,145.0,2,0,13.0,11,5.0,0,3.0,Morocco
Serge Gnabry,1,1,3.0,0,0,86.0,148.0,12,3,5.0,2,7.0,0,3.0,Germany
Sergej Milinković-Savić,1,0,3.0,1,0,87.0,158.0,3,0,5.0,2,2.0,0,5.0,Serbia
Sergio Busquets,0,0,4.0,1,0,261.0,309.0,2,0,7.0,3,2.0,0,1.0,Spain
Sergio Rochet,0,0,3.0,0,0,54.0,88.0,0,0,0.0,1,0.0,0,1.0,Uruguay
Sergiño Dest,0,1,4.0,1,0,172.0,250.0,6,0,4.0,4,8.0,0,7.0,United States
Shaquell Moore,0,0,,0,0,14.0,27.0,0,0,2.0,3,0.0,0,3.0,United States
Shogo Taniguchi,0,0,2.0,1,0,72.0,105.0,2,0,1.0,3,0.0,0,10.0,Japan
Shūichi Gonda,0,0,4.0,0,0,68.0,124.0,0,0,0.0,1,0.0,0,1.0,Japan
Silvan Widmer,0,1,3.0,1,0,127.0,208.0,1,0,10.0,4,6.0,0,15.0,Switzerland
Simon Kjær,0,0,1.0,0,0,50.0,68.0,0,0,0.0,0,0.0,0,2.0,Denmark
Sofiane Boufal,0,0,7.0,1,0,99.0,199.0,7,2,11.0,11,5.0,0,1.0,Morocco
Sofyan Amrabat,0,0,7.0,1,0,269.0,383.0,1,1,16.0,14,3.0,0,10.0,Morocco
Son Heung-min,0,1,4.0,0,0,77.0,158.0,9,2,5.0,1,6.0,0,0.0,Korea Republic
Son Jun-ho,0,0,,0,0,55.0,68.0,0,0,3.0,5,0.0,0,0.0,Korea Republic
Srđan Babić,0,0,,0,0,10.0,16.0,0,0,1.0,0,0.0,0,1.0,Serbia
Stefan Mitrović,0,0,,0,0,18.0,22.0,0,0,0.0,0,0.0,0,0.0,Serbia
Stephen Eustáquio,0,0,2.0,0,0,83.0,109.0,3,0,4.0,1,2.0,0,6.0,Canada
Steve Mandanda,0,0,1.0,0,0,19.0,32.0,0,0,0.0,0,0.0,0,0.0,France
Steven Berghuis,0,1,1.0,1,0,97.0,141.0,5,0,2.0,4,1.0,0,0.0,Netherlands
Steven Bergwijn,0,0,3.0,1,0,64.0,85.0,2,0,1.0,2,2.0,0,0.0,Netherlands
Steven Vitória,0,0,3.0,1,0,160.0,203.0,0,0,3.0,6,1.0,0,7.0,Canada
Strahinja Pavlović,1,0,3.0,2,0,121.0,186.0,2,0,7.0,6,3.0,0,7.0,Serbia
Sultan Al-Ghanam,0,0,1.0,0,0,34.0,68.0,2,1,0.0,2,1.0,0,3.0,Saudi Arabia
Taha Yassine Khenissi,0,0,,1,0,2.0,8.0,1,0,0.0,3,2.0,0,0.0,Tunisia
Tajon Buchanan,0,1,3.0,1,0,61.0,131.0,5,2,1.0,6,7.0,0,0.0,Canada
Takefusa Kubo,0,0,2.0,0,0,6.0,23.0,0,1,1.0,2,1.0,0,0.0,Japan
Takehiro Tomiyasu,0,0,1.0,0,0,73.0,118.0,0,0,0.0,1,0.0,0,7.0,Japan
Takuma Asano,1,0,,0,0,21.0,49.0,8,2,0.0,4,1.0,0,1.0,Japan
Takumi Minamino,0,0,,0,0,14.0,32.0,2,0,2.0,1,2.0,0,1.0,Japan
Tarek Salman,0,0,,0,0,7.0,14.0,0,0,1.0,0,0.0,0,0.0,Qatar
Tariq Lamptey,0,0,1.0,1,0,21.0,50.0,1,0,3.0,3,1.0,0,4.0,Ghana
Teun Koopmeiners,0,1,1.0,1,0,90.0,149.0,2,0,10.0,6,4.0,0,4.0,Netherlands
Theo Hernández,1,2,5.0,1,0,289.0,383.0,5,0,16.0,6,5.0,0,8.0,France
Thiago Almada,0,0,,0,0,13.0,15.0,0,0,0.0,0,0.0,0,0.0,Argentina
Thiago Silva,0,1,4.0,0,0,322.0,368.0,2,0,3.0,2,0.0,0,6.0,Brazil
Thibaut Courtois,0,0,3.0,0,0,108.0,129.0,0,0,0.0,0,0.0,0,0.0,Belgium
Thilo Kehrer,0,0,1.0,1,0,22.0,43.0,0,0,6.0,3,0.0,0,2.0,Germany
Thomas Delaney,0,0,1.0,0,0,24.0,31.0,0,0,1.0,0,0.0,0,1.0,Denmark
Thomas Meunier,0,0,2.0,1,0,110.0,167.0,3,0,6.0,4,1.0,0,5.0,Belgium
Thomas Müller,0,0,3.0,0,0,56.0,91.0,3,2,2.0,0,2.0,0,0.0,Germany
Thomas Partey,0,0,3.0,0,0,146.0,220.0,2,0,9.0,3,4.0,0,8.0,Ghana
Thorgan Hazard,0,0,1.0,0,0,40.0,66.0,0,1,3.0,2,0.0,0,0.0,Belgium
Tim Ream,0,0,4.0,1,0,245.0,305.0,1,0,4.0,1,0.0,0,12.0,United States
Timothy Castagne,0,0,3.0,0,0,176.0,229.0,0,0,7.0,3,0.0,0,4.0,Belgium
Timothy Weah,1,0,4.0,0,0,90.0,132.0,5,2,0.0,1,5.0,0,0.0,United States
Toby Alderweireld,0,1,3.0,0,0,248.0,303.0,0,0,4.0,0,0.0,0,19.0,Belgium
Trent Alexander-Arnold,0,0,,0,0,21.0,24.0,0,0,0.0,1,0.0,0,0.0,England
Tyler Adams,0,0,4.0,1,0,241.0,307.0,1,0,11.0,5,3.0,0,6.0,United States
Unai Simón,0,0,4.0,0,0,150.0,167.0,0,0,0.0,0,0.0,0,2.0,Spain
Uriel Antuna,0,0,,0,0,12.0,33.0,2,2,4.0,0,0.0,0,0.0,Mexico
Vanja Milinković-Savić,0,0,3.0,0,0,90.0,136.0,0,0,0.0,0,0.0,0,2.0,Serbia
Victor Nelsson,0,0,1.0,0,0,69.0,79.0,0,0,0.0,0,0.0,0,1.0,Denmark
Vincent Aboubakar,2,1,1.0,2,1,20.0,50.0,6,0,0.0,3,0.0,0,4.0,Cameroon
Vincent Janssen,0,0,1.0,0,0,16.0,32.0,2,0,2.0,2,1.0,0,1.0,Netherlands
Vinicius Júnior,1,2,4.0,0,0,68.0,132.0,9,3,3.0,0,11.0,0,0.0,Brazil
Virgil van Dijk,0,0,5.0,0,0,311.0,399.0,3,0,2.0,5,0.0,0,21.0,Netherlands
Vitinha,0,0,1.0,1,0,100.0,118.0,2,0,3.0,1,1.0,0,1.0,Portugal
Wahbi Khazri,1,0,1.0,0,0,13.0,36.0,5,2,2.0,1,2.0,0,0.0,Tunisia
Wajdi Kechrida,0,0,1.0,1,0,44.0,77.0,0,0,3.0,2,3.0,0,4.0,Tunisia
Walid Cheddira,0,0,,2,1,4.0,18.0,2,2,1.0,5,0.0,0,2.0,Morocco
Walker Zimmerman,0,0,3.0,0,0,217.0,274.0,1,0,3.0,3,0.0,0,15.0,United States
Wataru Endo,0,0,3.0,1,0,155.0,239.0,6,0,8.0,7,5.0,0,6.0,Japan
Wayne Hennessey,0,0,2.0,0,1,50.0,68.0,0,0,0.0,1,0.0,0,0.0,Wales
Weston McKennie,0,0,4.0,1,0,117.0,177.0,5,0,2.0,6,3.0,0,5.0,United States
William Carvalho,0,0,2.0,0,0,156.0,182.0,1,0,6.0,3,0.0,0,3.0,Portugal
William Saliba,0,0,,0,0,37.0,38.0,0,0,0.0,0,0.0,0,0.0,France
Wojciech Szczęsny,0,0,4.0,0,0,84.0,159.0,0,0,0.0,1,0.0,0,4.0,Poland
Wout Weghorst,2,0,,1,0,9.0,22.0,2,1,0.0,5,0.0,0,1.0,Netherlands
Wéverton,0,0,,0,0,3.0,5.0,0,0,0.0,0,0.0,0,0.0,Brazil
Xavi Simons,0,0,,0,0,6.0,11.0,0,0,1.0,0,0.0,0,0.0,Netherlands
Xherdan Shaqiri,1,1,3.0,0,0,67.0,111.0,4,0,0.0,2,5.0,0,0.0,Switzerland
Yahya Attiat Allah,0,1,2.0,0,0,98.0,167.0,2,0,4.0,8,2.0,0,15.0,Morocco
Yahya Jabrane,0,0,,0,0,,,0,0,,0,,0,,Morocco
Yann Sommer,0,0,3.0,0,0,108.0,126.0,0,0,0.0,0,0.0,0,0.0,Switzerland
Yannick Carrasco,0,0,2.0,1,0,39.0,68.0,4,0,5.0,1,2.0,0,4.0,Belgium
Yasser Al-Shahrani,0,0,1.0,0,0,13.0,43.0,0,0,3.0,1,0.0,0,6.0,Saudi Arabia
Yassine Bounou,0,0,6.0,0,0,154.0,219.0,0,0,0.0,0,0.0,0,5.0,Morocco
Yassine Meriah,0,0,3.0,0,0,139.0,208.0,1,0,4.0,3,0.0,0,20.0,Tunisia
Yeltsin Tejeda,1,1,3.0,0,0,78.0,128.0,2,0,4.0,0,2.0,0,7.0,Costa Rica
Youri Tielemans,0,0,1.0,0,0,53.0,77.0,0,0,3.0,2,0.0,0,0.0,Belgium
Youssef En-Nesyri,2,0,7.0,0,0,50.0,127.0,9,4,3.0,2,1.0,0,11.0,Morocco
Youssef Msakni,0,0,2.0,0,0,50.0,95.0,9,0,3.0,0,5.0,0,1.0,Tunisia
Youssouf Fofana,0,0,2.0,0,0,96.0,138.0,4,0,8.0,3,3.0,0,0.0,France
Youssouf Sabaly,0,0,4.0,0,0,189.0,253.0,2,0,6.0,3,1.0,0,9.0,Senegal
Youstin Salas,0,0,,0,0,15.0,27.0,0,0,5.0,0,1.0,0,1.0,Costa Rica
Yuki Soma,0,0,1.0,0,0,11.0,26.0,3,0,2.0,2,0.0,0,0.0,Japan
Yunus Musah,0,0,4.0,0,0,151.0,221.0,4,0,8.0,9,3.0,0,1.0,United States
Yuto Nagatomo,0,0,4.0,0,0,78.0,123.0,0,0,4.0,6,1.0,0,3.0,Japan
Zakaria Aboukhlal,1,0,,0,0,7.0,26.0,3,2,1.0,1,0.0,0,1.0,Morocco
Álvaro Morata,3,1,1.0,0,0,28.0,58.0,8,5,1.0,1,5.0,0,2.0,Spain
Álvaro Zamora,0,0,,0,0,5.0,9.0,0,1,2.0,0,1.0,0,0.0,Costa Rica
Ángel Correa,0,0,,0,0,3.0,6.0,0,0,1.0,0,0.0,0,1.0,Argentina
Ángel Di María,1,1,4.0,0,0,130.0,201.0,6,5,3.0,0,6.0,0,0.0,Argentina
Ángelo Preciado,0,1,3.0,0,0,94.0,162.0,4,0,7.0,8,2.0,0,4.0,Ecuador
Éder Militão,0,0,4.0,1,0,251.0,306.0,5,0,7.0,7,1.0,0,5.0,Brazil
Óscar Duarte,0,0,3.0,1,0,68.0,132.0,0,0,4.0,1,0.0,0,15.0,Costa Rica
İlkay Gündoğan,1,0,3.0,0,0,150.0,187.0,5,1,3.0,3,1.0,0,1.0,Germany
